Time(s), Force(N), Acceleration In The X-direction (m/s^2), Acceleration In The Y-direction (m/s^2), Velocity In The X-direction (m/s), Velocity In The Y-direction (m/s)
0.0, 2.3365300005812875e-9, 2.0185246179379095e-5, 1.813622939649827e-5, 0.0010599760005152216, 0.0007107459966606921
0.01, 4.9108345498464566e-9, 1.5552997219967423e-5, 1.3973617109178289e-5, 0.0016605004954005974, 0.0013058574618763032
0.02, -7.082250774105985e-10, 9.24997359370944e-6, 8.309620242031347e-6, 0.00191510813082801, 0.0016101331687425658
0.03, -4.820341039138398e-9, 2.9143466956645273e-6, 2.616325558434683e-6, 0.0018050615083403567, 0.0015871153102355773
0.04, -1.142142023259415e-8, -1.9571119691062916e-6, -1.7612443590862718e-6, 0.0014137632067389159, 0.0012938241576324486
0.05, -1.1598482650477763e-8, -4.4561967647509205e-6, -4.0069615406516925e-6, 0.0008934228049173309, 0.0008561601991293466
0.06, -5.010385773332051e-9, -4.488161043371619e-6, -4.035685147721942e-6, 0.00041135191453357426, 0.00042333754336254227
0.07, -1.2245011120614998e-9, -2.709676856690438e-6, -2.437511087314788e-6, 9.554285633469727e-5, 0.00011823698824326325
0.08, 4.565160357539675e-9, -2.209227910666969e-7, -2.0107726338493528e-7, -1.5600391685256332e-6, 1.1624909078626997e-6
0.09, 2.329597469037114e-9, 1.8613417813272884e-6, 1.6700786633495943e-6, 9.015712329486582e-5, 5.863313940382197e-5
0.1, 5.282949873410867e-9, 2.788373210294718e-6, 2.5031237891138345e-6, 0.0002809942080803781, 0.00021901053352654698
0.11, -1.1836817675378413e-10, 2.3877623656795694e-6, 2.143128538678262e-6, 0.00046243286700140235, 0.0003868432910640496
0.12, -4.552482881852891e-9, 1.0371698446625033e-6, 9.294647066147789e-7, 0.0005498515712024727, 0.0004815660025167437
0.13, -1.1183943384958789e-8, -5.625080717272954e-7, -5.08031207113995e-7, 0.0005109802038875396, 0.00046578571301722054
0.14, -1.1769394321705763e-8, -1.7079278035456285e-6, -1.5373235209759682e-6, 0.00037090384085803116, 0.00035362043398222507
0.15, -5.261528430565413e-9, -1.9752666320678986e-6, -1.7775584267946995e-6, 0.00019421366618789239, 0.00019803677508758703
0.16, -1.8254190093165656e-9, -1.3578841375553185e-6, -1.2227687382115031e-6, 5.3682881410275426e-5, 6.435036666228684e-5
0.17, 4.139986222039348e-9, -2.2048683429048951e-7, -2.0068550572049827e-7, -7.506437838015966e-7, 1.8041999011442643e-6
0.18, 2.3037252214851665e-9, 8.93059528411238e-7, 7.999648937949256e-7, 3.9690635943938366e-5, 2.4799694092384463e-5
0.19, 5.624469949492682e-9, 1.505858386800114e-6, 1.3506356543571252e-6, 0.0001431593391117842, 0.00011042998841632554
0.2, 4.622100123336033e-10, 1.402061693954728e-6, 1.2573623020819804e-6, 0.00025455609480785603, 0.00021176709401305507
0.21, -4.276404009955484e-9, 6.934462543420309e-7, 6.205892439490888e-7, 0.00032100901646767274, 0.00027996077212203774
0.22, -1.091207447653106e-8, -2.5798201211991814e-7, -2.3437926641922577e-7, 0.00031412656147965093, 0.00028516224994292545
0.23, -1.190360342355375e-8, -1.0166477888250987e-6, -9.161283502357994e-7, 0.000239963970532024, 0.0002275960460229963
0.24, -5.501652090726325e-9, -1.266667070837128e-6, -1.1407996372272604e-6, 0.00013350496293635327, 0.00013491579546778923
0.25, -2.4288786623802426e-9, -9.384439639151171e-7, -8.458531544658147e-7, 4.122258416207676e-5, 4.804938104620212e-5
0.26, 3.688727602811394e-9, -2.197613859557456e-7, -2.0003360635617368e-7, 5.867499522632163e-8, 2.4423728710435583e-6
0.27, 2.259015374671841e-9, 5.448528341296569e-7, 4.870608429016348e-7, 2.2078945882932304e-5, 1.3063555060556176e-5
0.28, 1.7225170608917866e-9, 1.0152886925284324e-6, 9.09801956717047e-7, 9.098797638826024e-5, 6.934303807898985e-5
0.29, 1.031218223792525e-9, 1.0039081426545946e-6, 8.995752143391743e-7, 0.0001711859454033465, 0.00014153756904001437
0.3, -3.993193969817763e-9, 5.473619436576446e-7, 4.893155684682587e-7, 0.00022461189564376778, 0.00019500601437630682
0.31, -6.549046428919344e-9, -1.240200525342238e-7, -1.1399892764899023e-7, 0.00022756560284288902, 0.00020569235667658472
0.32, -1.2000580283206306e-8, -6.995115826141449e-7, -6.311447320637183e-7, 0.00018019691030338593, 0.00017000972829507428
0.33, -5.7298090846240866e-9, -9.295327259138134e-7, -8.378453748479299e-7, 0.00010497562227140817, 0.00010516067424652174
0.34, -2.7307272440336733e-9, -7.319645998830234e-7, -6.603075274216113e-7, 3.546426539893998e-5, 4.03214930364812e-5
0.35, 3.213165422269344e-9, -2.1874816319842745e-7, -1.9912310833751724e-7, 8.663205761063149e-7, 3.0755956600487406e-6
0.36, 2.195644388740527e-9, 3.644167713104483e-7, 3.249181388394668e-7, 1.336142841281106e-5, 7.310501307143726e-6
0.37, 1.8618603580853459e-9, 7.540362581526303e-7, 6.750363810849524e-7, 6.36372647416355e-5, 4.7813825082342554e-5
0.38, 1.5864108529602978e-9, 7.864701290679161e-7, 7.041819712255137e-7, 0.00012614678767466502, 0.00010358848126835709
0.39, -3.7039704512788304e-9, 4.653414547360994e-7, 4.156106579612935e-7, 0.00017126933208792697, 0.00014797348222794605
0.4, -6.381448023998844e-9, -4.8488625392618036e-8, -4.6125190841721646e-8, 0.0001786600567373923, 0.00016076002609656737
0.41, -1.2059942166497455e-8, -5.161217849340819e-7, -4.663477550703584e-7, 0.00014583110614724328, 0.000136851239237195
0.42, -5.945098970035554e-9, -7.306237317644603e-7, -6.591026020911553e-7, 8.83987474413598e-5, 8.780172882404211e-5
0.43, -3.0315447218789982e-9, -6.076561851313454e-7, -5.486020169455876e-7, 3.2280148593786014e-5, 3.589097046413133e-5
0.44, 2.7151765178871887e-9, -2.174495632257654e-7, -1.9795616583293611e-7, 1.670701588936785e-6, 3.702466948831818e-6
0.45, 2.113862370827672e-9, 2.534293473324437e-7, 2.2518308167010784e-7, 8.32821646309127e-6, 4.036448825421622e-6
0.46, 1.9841099175806697e-9, 5.904319777246384e-7, 5.280189832860747e-7, 4.6867042973084804e-5, 3.462289295229224e-5
0.47, 2.125596818997025e-9, 6.480495299423868e-7, 5.797950283412517e-7, 9.789518718986799e-5, 7.977858029239081e-5
0.48, -3.409874876622305e-9, 4.119517942081754e-7, 3.6763386334633054e-7, 0.00013726642347801853, 0.00011797696377025164
0.49, -6.198410781005746e-9, 8.431886419858361e-12, -2.544967003063842e-9, 0.00014707261027737805, 0.00013171380021691253
0.5, -1.2081454788388735e-8, -3.957803279476126e-7, -3.582070156768433e-7, 0.00012340502944428616, 0.00011517709746727447
0.51, -6.1466720853308875e-9, -5.981834421696503e-7, -5.400896600765199e-7, 7.755064566537906e-5, 7.638683357221558e-5
0.52, -3.3301438959521286e-9, -5.235747837763772e-7, -4.730451378826592e-7, 3.0345514210568194e-5, 3.3065044341321165e-5
0.53, 2.196726235163438e-9, -2.1586865657337138e-7, -1.965355380743515e-7, 2.4702360691502585e-6, 4.321601934040965e-6
0.54, 2.0139920879996957e-9, 1.7792860116879706e-7, 1.5733691527514138e-7, 5.178636550541348e-6, 2.0300402846043687e-6
0.55, 2.088783287023082e-9, 4.774591398077606e-7, 4.264998017032717e-7, 3.559118917231574e-5, 2.5762882938240335e-5
0.56, 2.646648212010038e-9, 5.511869967521393e-7, 4.927528217645184e-7, 7.84944287808562e-5, 6.342445235285889e-5
0.57, -3.1120678959177997e-9, 3.7375785951388827e-7, 3.3331218865791157e-7, 0.000113608714363218, 9.709480881208793e-5
0.58, -6.000657053514866e-9, 3.370977644665086e-8, 2.7739595030212248e-8, 0.0001248761215254654, 0.00011128364341807985
0.59, -1.206503323758488e-8, -3.102136116590835e-7, -2.813154090881307e-7, 0.00010753470423650553, 9.981054888937705e-5
0.6, -6.333732902712727e-9, -5.028114173385894e-7, -4.543868479204624e-7, 6.98806549238646e-5, 6.827179930934946e-5
0.61, -3.625346320928085e-9, -4.62137720109173e-7, -4.1783681934039956e-7, 2.9104267839728933e-5, 3.11334148560966e-5
0.62, 1.6598606713085627e-9, -2.140091784355164e-7, -1.9486458156650949e-7, 3.2633556129576113e-6, 4.931635958889418e-6
0.63, 1.8964276934415905e-9, 1.230590118658401e-7, 1.0803023322192462e-7, 3.124092454946323e-6, 7.605525699738486e-7
0.64, 2.1754673792502688e-9, 3.941477071696105e-7, 3.5163482872509337e-7, 2.7540157269721237e-5, 1.944549947542393e-5
0.65, 3.1475086910217994e-9, 4.788628935149869e-7, 4.277612370195658e-7, 6.433715585520775e-5, 5.1488310943408404e-5
0.66, -2.8117248064612386e-9, 3.445481015212053e-7, 3.0706383745826224e-7, 9.613529986596421e-5, 8.166235699400856e-5
0.67, -5.7889672743415325e-9, 5.837477635821808e-8, 4.9903954631288805e-8, 0.00010834101290471153, 9.60491192441341e-5
0.68, -1.2010742311640798e-8, -2.4590403589192995e-7, -2.2352580567386026e-7, 9.564577618783026e-5, 8.827633995980286e-5
0.69, -6.505543167785237e-9, -4.3023436483338805e-7, -3.8916795895682376e-7, 6.414996140022677e-5, 6.217245960776075e-5
0.7, -3.915986956892244e-9, -4.146835654288041e-7, -3.7519376429566565e-7, 2.8281824662132692e-5, 2.9745599355543776e-5
0.71, 1.1066986002422097e-9, -2.1187551817132891e-7, -1.9294724065704127e-7, 4.048509490288783e-6, 5.531228083141191e-6
0.72, 1.7616331709105355e-9, 8.129315666635183e-8, 7.049877419037435e-8, 1.7641610034738354e-6, -4.168631657776482e-8
0.73, 2.2438201025553452e-9, 3.2973490987949574e-7, 2.937524688151587e-7, 2.1548150301756644e-5, 1.47520427670957e-5
0.74, 3.6262015993411145e-9, 4.222335339009251e-7, 3.768731974908702e-7, 5.354770856584003e-5, 4.239057773298853e-5
0.75, -2.5100309143980726e-9, 3.210577263341652e-7, 2.859550142398239e-7, 8.265682691916483e-5, 6.975132285403564e-5
0.76, -5.564176875517452e-9, 7.707051032291972e-8, 6.670423730248657e-8, 9.548215201027507e-5, 8.418962239320235e-5
0.77, -1.19187962612315e-8, -1.9557660958860967e-7, -1.7830078323770432e-7, 8.63526086641776e-5, 7.924218434114756e-5
0.78, -1.0872954717409357e-8, -3.726893244938151e-7, -3.3745707422442104e-7, 5.968438953436621e-5, 5.739001402390545e-5
0.79, -4.200918767225323e-9, -3.7645411243686476e-7, -3.408401723026006e-7, 2.7726798489783007e-5, 2.8708571613717213e-5
0.8, 5.394231107575231e-10, -2.0947270695241878e-7, -1.9078803643645313e-7, 4.824168705240993e-6, 6.119064583966608e-6
0.81, 5.667980513580253e-9, 4.8409830833903176e-8, 4.094929674266556e-8, 8.73554149831354e-7, -5.285671613263411e-7
0.82, 2.293571710772432e-9, 2.7813097486687983e-7, 2.4738035543347356e-7, 1.6954664124140122e-5, 1.116190947823429e-5
0.83, 4.08083776555857e-9, 3.762512429052247e-7, 3.3555278246664156e-7, 4.5054386859460745e-5, 3.522866121765028e-5
0.84, -1.906405620029525e-9, 3.0140890615844196e-7, 2.6829827320279893e-7, 7.191170437584259e-5, 6.0250511029021455e-5
0.85, -5.327172991245125e-9, 9.15808824233194e-8, 7.97434875085126e-8, 8.514606043603922e-5, 7.46472533834984e-5
0.86, -1.178955794460741e-8, -1.549697205018993e-7, -1.4181078951259281e-7, 7.884345514763959e-5, 7.192759316173779e-5
0.87, -1.1149361448425875e-8, -3.255944230166162e-7, -2.951368497984649e-7, 5.60857068610883e-5, 5.351172826725233e-5
0.88, -4.479017245447047e-9, -3.446209745838812e-7, -3.1223441040767573e-7, 2.734874593987457e-5, 2.7907182693241495e-5
0.89, -3.9727009162337465e-11, -2.068064035995153e-7, -1.8839205401067774e-7, 5.58882999076704e-6, 6.6938623761723105e-6
0.9, 5.330683249674326e-9, 2.185877239931183e-8, 1.709009507847426e-8, 3.1550150859042024e-7, -7.924499634423983e-7
0.91, 2.3245258678379542e-9, 2.3563321453971487e-7, 2.0919119486118165e-7, 1.335730020602146e-5, 8.357844359722055e-6
0.92, 4.509622959229327e-9, 3.3782758765909617e-7, 3.0102467725183354e-7, 3.820039912042904e-5, 2.944934767997796e-5
0.93, -1.3050023826818992e-9, 2.844470241662588e-7, 2.530560573772151e-7, 6.312193529059674e-5, 5.247462979028095e-5
0.94, -5.078890956780088e-9, 1.0301476383388714e-7, 9.001815445066286e-8, 7.661696993286132e-5, 6.676553076775298e-5
0.95, -1.1623537395555852e-8, -1.2142233604972561e-7, -1.116645784709279e-7, 7.261147029608025e-5, 6.584523644215876e-5
0.96, -1.139151250890002e-8, -2.860730038019674e-7, -2.596222764936237e-7, 5.31036452267238e-5, 5.027825420156397e-5
0.97, -4.749184853104715e-9, -3.1739955098047974e-7, -2.8777280798457104e-7, 2.7090215885930094e-5, 2.7268432255416123e-5
0.98, -6.284661077768313e-10, -2.0388287867607823e-7, -1.8576492820736687e-7, 6.341019726184113e-6, 7.2543723420474645e-6
0.99, 4.962602452495723e-9, 8.431882867702272e-12, -2.5449670075602993e-9, 1.908501819769125e-9, -8.929571269539963e-7
1.0, 2.3365604226413104e-9, 1.9986227096769948e-7, 1.7704685837432715e-7, 1.0496739187565874e-5, 6.135316083127603e-6